,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Dataset
0,CatBoost Classifier,0.2904,0.772,0.2904,0.2396,0.2447,0.2308,0.2367,1718.754,PMA+noPMA_horiz_2353Features
1,Random Forest Classifier,0.2809,0.7204,0.2809,0.2212,0.2318,0.218,0.2246,1285.008,PMA+noPMA_horiz_2353Features
2,Light Gradient Boosting Machine,0.2781,0.7561,0.2781,0.2268,0.2374,0.2185,0.2243,1690.892,PMA+noPMA_horiz_2353Features
3,Extra Trees Classifier,0.2761,0.7165,0.2761,0.2186,0.228,0.2121,0.2186,1257.802,PMA+noPMA_horiz_2353Features
4,Extreme Gradient Boosting,0.2734,0.7557,0.2734,0.2363,0.2471,0.2203,0.2218,1482.18,PMA+noPMA_horiz_2353Features
5,Ridge Classifier,0.265,0.0,0.265,0.1553,0.1695,0.1661,0.1901,1271.964,PMA+noPMA_horiz_2353Features
6,Logistic Regression,0.2493,0.0,0.2493,0.1577,0.1674,0.161,0.1954,1267.568,PMA+noPMA_horiz_2353Features
7,K Neighbors Classifier,0.2397,0.6375,0.2397,0.2414,0.2302,0.1909,0.1927,1307.522,PMA+noPMA_horiz_2353Features
8,SVM - Linear Kernel,0.2345,0.0,0.2345,0.2322,0.2144,0.1846,0.2107,1308.586,PMA+noPMA_horiz_2353Features
9,Gradient Boosting Classifier,0.2197,0.0,0.2197,0.1983,0.2011,0.1651,0.1676,45980.472,PMA+noPMA_horiz_2353Features
10,Decision Tree Classifier,0.213,0.5965,0.213,0.2129,0.2121,0.1683,0.1683,1503.678,PMA+noPMA_horiz_2353Features
11,Dummy Classifier,0.2048,0.5,0.2048,0.0419,0.0696,0.0,0.0,1293.286,PMA+noPMA_horiz_2353Features
12,Ada Boost Classifier,0.1977,0.0,0.1977,0.0515,0.0748,0.0041,0.0126,1456.752,PMA+noPMA_horiz_2353Features
13,Linear Discriminant Analysis,0.1925,0.0,0.1925,0.2756,0.2138,0.1519,0.1547,1259.814,PMA+noPMA_horiz_2353Features
14,Naive Bayes,0.1858,0.6182,0.1858,0.261,0.2076,0.1551,0.1633,1342.488,PMA+noPMA_horiz_2353Features
15,Quadratic Discriminant Analysis,0.0104,0.0,0.0104,0.0119,0.0084,-0.0006,-0.0006,1282.586,PMA+noPMA_horiz_2353Features
16,CatBoost Classifier,0.3085,0.7178,0.3085,0.1692,0.1891,0.1202,0.1606,992.094,noPMA_1177Features
17,Random Forest Classifier,0.3064,0.6665,0.3064,0.1647,0.1735,0.0929,0.1537,815.906,noPMA_1177Features
18,Extra Trees Classifier,0.3054,0.6707,0.3054,0.1661,0.1737,0.0929,0.1514,767.502,noPMA_1177Features
19,Light Gradient Boosting Machine,0.302,0.6941,0.302,0.1701,0.1699,0.0811,0.1451,1064.208,noPMA_1177Features
20,Extreme Gradient Boosting,0.2997,0.698,0.2997,0.172,0.1893,0.1211,0.1518,890.888,noPMA_1177Features
21,Ridge Classifier,0.2895,0.0,0.2895,0.1345,0.1479,0.052,0.1162,822.824,noPMA_1177Features
22,Logistic Regression,0.2801,0.0,0.2801,0.1258,0.1357,0.0315,0.0884,809.388,noPMA_1177Features
23,Dummy Classifier,0.2666,0.5,0.2666,0.0711,0.1122,0.0,0.0,762.434,noPMA_1177Features
24,Quadratic Discriminant Analysis,0.2662,0.0,0.2662,0.0724,0.1126,0.0008,0.0071,805.768,noPMA_1177Features
25,Ada Boost Classifier,0.2662,0.0,0.2662,0.081,0.1176,0.0071,0.0244,904.456,noPMA_1177Features
26,Gradient Boosting Classifier,0.2314,0.0,0.2314,0.1326,0.1502,0.065,0.0738,24645.952,noPMA_1177Features
27,K Neighbors Classifier,0.2258,0.6018,0.2258,0.179,0.1852,0.1142,0.117,854.64,noPMA_1177Features
28,SVM - Linear Kernel,0.1821,0.0,0.1821,0.2335,0.1736,0.0992,0.1333,786.372,noPMA_1177Features
29,Decision Tree Classifier,0.1775,0.5604,0.1775,0.1751,0.1756,0.1026,0.1026,881.118,noPMA_1177Features
30,Linear Discriminant Analysis,0.1754,0.0,0.1754,0.1447,0.1394,0.0342,0.036,783.278,noPMA_1177Features
31,Naive Bayes,0.1161,0.5968,0.1161,0.3257,0.1549,0.0921,0.0985,870.648,noPMA_1177Features
32,CatBoost Classifier,0.4805,0.8304,0.4805,0.5528,0.4335,0.3728,0.4214,832.07,PMA_1177Features
33,Random Forest Classifier,0.48,0.7867,0.48,0.5974,0.4344,0.3616,0.432,608.485,PMA_1177Features
