Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Top 5 Accuracy,Balanced Accuracy,TT (Sec),Dataset
CatBoost Classifier,0.2899,0.7746,0.2899,0.2366,0.2435,0.2301,0.2353,0,0,1674.754,PMA+noPMA_horiz_2352Features
Random Forest Classifier,0.2805,0.7184,0.2805,0.2235,0.233,0.2171,0.2231,0,0,1290.072,PMA+noPMA_horiz_2352Features
Extreme Gradient Boosting,0.2756,0.7584,0.2756,0.2423,0.2496,0.2227,0.224,0,0,1352.652,PMA+noPMA_horiz_2352Features
Extra Trees Classifier,0.2753,0.7169,0.2753,0.219,0.2266,0.2107,0.2171,0,0,1260.928,PMA+noPMA_horiz_2352Features
Ridge Classifier,0.2664,0,0.2664,0.1578,0.1719,0.1672,0.191,0,0,1266.52,PMA+noPMA_horiz_2352Features
Logistic Regression,0.2493,0,0.2493,0.1561,0.1666,0.1594,0.1935,0,0,1219.154,PMA+noPMA_horiz_2352Features
K Neighbors Classifier,0.2424,0.6372,0.2424,0.2517,0.2353,0.1933,0.1953,0,0,1234.696,PMA+noPMA_horiz_2352Features
SVM - Linear Kernel,0.2422,0,0.2422,0.2442,0.2126,0.18,0.2085,0,0,1253.574,PMA+noPMA_horiz_2352Features
Decision Tree Classifier,0.2123,0.5959,0.2123,0.2138,0.2123,0.1672,0.1673,0,0,1425.722,PMA+noPMA_horiz_2352Features
Dummy Classifier,0.2058,0.5,0.2058,0.0423,0.0702,0,0,0,0,1257.966,PMA+noPMA_horiz_2352Features
Ada Boost Classifier,0.2009,0,0.2009,0.0509,0.0751,0.0032,0.0099,0,0,1447.826,PMA+noPMA_horiz_2352Features
Linear Discriminant Analysis,0.1977,0,0.1977,0.2858,0.2193,0.1573,0.16,0,0,1275.08,PMA+noPMA_horiz_2352Features
HistGradientBoostingClassifier,0.1954,0,0.1954,0.1098,0.1091,0.065,0.0852,0,0,1615.752,PMA+noPMA_horiz_2352Features
Light Gradient Boosting Machine,0.1932,0.663,0.1932,0.1967,0.1682,0.1439,0.1572,0,0,1535.306,PMA+noPMA_horiz_2352Features
