Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Top 5 Accuracy,Balanced Accuracy,TT (Sec),Dataset
CatBoost Classifier,0.2663,0.7204,0.2663,0.1651,0.174,0.1521,0.1726,0,0,250.16,noPMA_1176Features
Extra Trees Classifier,0.255,0.6637,0.255,0.1481,0.151,0.1164,0.1494,0,0,2.318,noPMA_1176Features
Random Forest Classifier,0.2533,0.6696,0.2533,0.1423,0.149,0.1149,0.1469,0,0,6.648,noPMA_1176Features
Extreme Gradient Boosting,0.2521,0.7032,0.2521,0.1544,0.172,0.1495,0.162,0,0,136.86,noPMA_1176Features
Light Gradient Boosting Machine,0.237,0.6625,0.237,0.1343,0.1326,0.0879,0.1225,0,0,257.59,noPMA_1176Features
Ridge Classifier,0.2346,0,0.2346,0.1053,0.1123,0.0573,0.1141,0,0,0.698,noPMA_1176Features
Logistic Regression,0.2234,0,0.2234,0.0989,0.0983,0.0348,0.0893,0,0,3.418,noPMA_1176Features
Dummy Classifier,0.2055,0.5,0.2055,0.0422,0.07,0,0,0,0,0.582,noPMA_1176Features
Quadratic Discriminant Analysis,0.205,0,0.205,0.0461,0.0709,0.0028,0.0136,0,0,8.288,noPMA_1176Features
K Neighbors Classifier,0.1914,0.6016,0.1914,0.1657,0.1626,0.1225,0.1243,0,0,1.214,noPMA_1176Features
Ada Boost Classifier,0.1818,0,0.1818,0.0463,0.0678,-0.0155,-0.0303,0,0,94.116,noPMA_1176Features
HistGradientBoostingClassifier,0.1712,0,0.1712,0.0884,0.0972,0.0421,0.0522,0,0,302.456,noPMA_1176Features
SVM - Linear Kernel,0.1642,0,0.1642,0.1993,0.15,0.1069,0.1368,0,0,1.078,noPMA_1176Features
Decision Tree Classifier,0.1534,0.5594,0.1534,0.1537,0.153,0.1051,0.1051,0,0,51.726,noPMA_1176Features
Linear Discriminant Analysis,0.1445,0,0.1445,0.1613,0.1352,0.0806,0.0816,0,0,3.106,noPMA_1176Features
Naive Bayes,0.1181,0.5955,0.1181,0.2636,0.149,0.0977,0.105,0,0,4.066,noPMA_1176Features
CatBoost Classifier,0.2587,0.7123,0.2587,0.159,0.1697,0.1498,0.1659,0,0,228.542,PMA_1176Features
Random Forest Classifier,0.2513,0.6665,0.2513,0.1415,0.1497,0.1193,0.1461,0,0,6.722,PMA_1176Features
Extra Trees Classifier,0.2505,0.6683,0.2505,0.1437,0.1485,0.1157,0.1441,0,0,2.448,PMA_1176Features
Light Gradient Boosting Machine,0.2502,0.6938,0.2502,0.1542,0.148,0.1098,0.1421,0,0,307.732,PMA_1176Features
Extreme Gradient Boosting,0.2449,0.6954,0.2449,0.1503,0.1668,0.1422,0.1538,0,0,147.166,PMA_1176Features
Ridge Classifier,0.2308,0,0.2308,0.112,0.1108,0.0549,0.1036,0,0,0.712,PMA_1176Features
Logistic Regression,0.2211,0,0.2211,0.0839,0.0965,0.0338,0.0799,0,0,3.286,PMA_1176Features
Dummy Classifier,0.2055,0.5,0.2055,0.0422,0.07,0,0,0,0,0.588,PMA_1176Features
Quadratic Discriminant Analysis,0.2043,0,0.2043,0.0427,0.0706,0.0024,0.011,0,0,8.09,PMA_1176Features
K Neighbors Classifier,0.1958,0.6009,0.1958,0.1706,0.1639,0.1252,0.1274,0,0,1.198,PMA_1176Features
HistGradientBoostingClassifier,0.1811,0,0.1811,0.0974,0.0934,0.0396,0.0547,0,0,297.962,PMA_1176Features
SVM - Linear Kernel,0.1755,0,0.1755,0.1779,0.1505,0.1096,0.1455,0,0,1.04,PMA_1176Features
Decision Tree Classifier,0.1542,0.5593,0.1542,0.1517,0.1521,0.1047,0.1047,0,0,53.674,PMA_1176Features
Ada Boost Classifier,0.1537,0,0.1537,0.0437,0.0631,-0.0264,-0.0429,0,0,95.342,PMA_1176Features
Linear Discriminant Analysis,0.1404,0,0.1404,0.1605,0.1325,0.077,0.0781,0,0,3.05,PMA_1176Features
Naive Bayes,0.1198,0.5988,0.1198,0.2303,0.1471,0.0968,0.1077,0,0,4.164,PMA_1176Features
CatBoost Classifier,0.3085,0.7178,0.3085,0.1692,0.1891,0.1202,0.1606,,,992.094,noPMA_1177Features_solo
Random Forest Classifier,0.3064,0.6665,0.3064,0.1647,0.1735,0.0929,0.1537,,,815.906,noPMA_1177Features_solo
Extra Trees Classifier,0.3054,0.6707,0.3054,0.1661,0.1737,0.0929,0.1514,,,767.502,noPMA_1177Features_solo
Light Gradient Boosting Machine,0.302,0.6941,0.302,0.1701,0.1699,0.0811,0.1451,,,1064.208,noPMA_1177Features_solo
Extreme Gradient Boosting,0.2997,0.698,0.2997,0.172,0.1893,0.1211,0.1518,,,890.888,noPMA_1177Features_solo
